feature,raw_feature_name,origin,semantic_group,type,transform_encoding,keep_glm,keep_tree,keep_nn,decision_type,decision_type_short,reason_eda,zero_as_missing,is_sparse_zero,is_momentum,apply_log,apply_winsor,target_encode,impute_strategy
CustomerCareCalls,CustomerCareCalls,Original,support_retention,Numeric (count),–,FALSE,FALSE,FALSE,Replace,replace,"Number of support calls. Strong churn indicator, but modeled as CustomerCareCalls_flag (any vs none) to capture complaint presence. Replacing numeric count (small values) with binary flag since having ≥1 call (29% churn vs 23% for none, per EDA bar height【42†】) is the key signal.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,median
ThreewayCalls,ThreewayCalls,Original,usage_activity,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Rare feature (conference calls) with no observed churn impact. Not highlighted in any analysis – likely irrelevant. Dropped to reduce features (insufficient evidence of any effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
ReceivedCalls,ReceivedCalls,Original,usage_activity,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Highly correlated with OutboundCalls (ρ≈0.82) and total minutes. Provides no unique insight (heavy callers both make and receive many calls). Dropped to avoid redundancy.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
OutboundCalls,OutboundCalls,Original,usage_activity,Numeric (count),–,TRUE,TRUE,TRUE,Keep,keep,"Outgoing call count. Correlated with usage, but retained to capture calling behavior. Heavy callers tend to churn slightly less (non-churn had higher outbound call counts on average). Captures user engagement style (active vs passive).",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,median
InboundCalls,InboundCalls,Original,usage_activity,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Redundant with ReceivedCalls (both measure inbound calling; ρ≈0.75). No added predictive value beyond other usage metrics. Dropped for collinearity reduction.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
PeakCallsInOut,PeakCallsInOut,Original,usage_activity,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,"Peak-time call count (in+out). Strongly correlated with OffPeakCallsInOut (ρ≈0.83) and with total usage. Time-of-day usage pattern did not show unique churn discrimination in EDA (not singled out), so it’s dropped to simplify the model.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
OffPeakCallsInOut,OffPeakCallsInOut,Original,usage_activity,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,"Off-peak call count. Redundant with PeakCallsInOut and MonthlyMinutes (ρ≥0.79 with both). No distinct churn pattern observed by itself, so removed as a separate feature.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
DroppedBlockedCalls,DroppedBlockedCalls,Original,quality_experience,Numeric (count),–,TRUE,TRUE,TRUE,Keep,keep,"Combined dropped+blocked calls (network issues). Churners experienced slightly fewer such events on average (8.58 vs 10.17) due to lower usage, but presence of any issues is still a churn factor. Retained as a consolidated quality metric (with possible non-linear treatment).",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,median
CallForwardingCalls,CallForwardingCalls,Original,quality_experience,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Very low incidence feature (call forwarding uses). No evidence of influence on churn (not present in top factors). Dropped as likely noise.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
CallWaitingCalls,CallWaitingCalls,Original,quality_experience,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Low incidence. Mild correlation with overall calls (peak-time load) but churn correlation essentially zero (ρ≈-0.038). Removed for irrelevance.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
MonthsInService,MonthsInService,Original,account_tenure,Numeric (integer),"Possibly binned (0–6,6–12,12–24,24+ months) for GLM",TRUE,TRUE,TRUE,Keep,keep,"Tenure with the company. Churners had slightly shorter tenure on average (17.9 vs 18.8 months), and new customers (≤6 months) show highest churn rates. Core predictor of “tenure decay” effect (early-life churn risk). Retained with possible non-linear encoding (bucket or spline).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
UniqueSubs,UniqueSubs,Original,account_tenure,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Total subscribers on the account. Highly correlated with ActiveSubs (multi-line accounts) and with Handsets. We prefer ActiveSubs and InactiveSubs to capture account composition. UniqueSubs adds no extra information when those are included (linear dependency: Unique = Active + Inactive).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
ActiveSubs,ActiveSubs,Original,account_tenure,Numeric (count),–,TRUE,TRUE,TRUE,Keep,keep,"Number of active subscribers on the account (family plan size). Multi-line accounts tend to churn less (e.g. churn rate was lower for accounts with >1 active line, anecdotal from EDA). Included to capture the stabilizing effect of family plans.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
ServiceArea,ServiceArea,Original,geo_segmentation,Nominal (747 categories),– (very high-cardinality),FALSE,FALSE,FALSE,Drop,drop,"Too many sparse categories to model reliably (each area code). Instead, we derive HighRiskServiceArea_flag to capture any location-based risk. Keeping this raw feature would overfit and complicate GLM/NN encoding. Dropped in favor of engineered grouping.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
Handsets,Handsets,Original,account_tenure,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Number of handsets issued historically. Correlated with tenure and number of lines; weak negative correlation with churn (ρ≈ -0.036) indicating minimal added predictive power. Dropped (effect subsumed by tenure and ActiveSubs).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HandsetModels,HandsetModels,Original,account_tenure,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Number of distinct handset models used. Redundant with Handsets (very high collinearity ρ=0.91). No unique contribution beyond total handsets count – dropped to avoid multicollinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
CurrentEquipmentDays,CurrentEquipmentDays,Original,account_tenure,Numeric (continuous),– (can cap extreme or use flag),TRUE,TRUE,TRUE,Keep,keep,Days since current device was acquired (device age). Long device tenure often correlates with being out-of-contract and churn risk (device obsolescence). In combination with long service tenure it defines UpgradeOverdue flag (over 500 days on device and ≥24 months service). Retained to allow models to capture any continuous effect or alternate thresholds beyond the flag.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
AgeHH1,AgeHH1,Original,demographics_household,Numeric (continuous),Treat 0 as missing (Unknown); consider binning by age group,TRUE,TRUE,TRUE,Keep,keep,"Age of primary household member. Older customers are generally more stable (anecdotally churn less), whereas very young or unknown age could signal higher churn. Retained to capture any demographic effect, although EDA evidence was limited (needed for stratified analysis – insufficient in current charts). Missing values are encoded as “Unknown” (0).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,median
AgeHH2,AgeHH2,Original,demographics_household,Numeric (continuous),–,FALSE,FALSE,FALSE,Drop,drop,"Age of second household member. 0 indicates “no second householder”, not missing. Used only as a source for engineered features (HasHH2, AgeHH2_clean); the raw AgeHH2 is dropped from the modelling matrix to avoid mixing structural zeros, missingness and age in one field and to reduce collinearity with AgeHH1/family-size variables.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
ChildrenInHH,ChildrenInHH,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Presence of children. Not highlighted in EDA; any churn difference appears negligible. Likely correlated with being a family plan (already captured by ActiveSubs). Dropped due to insufficient evidence of additional predictive value.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HandsetRefurbished,HandsetRefurbished,Original,device_flags,Binary (Y/N),–,TRUE,TRUE,TRUE,Keep,keep,"Indicates if handset is refurbished. Customers on refurbished devices showed higher churn in combination with being overdue for upgrade. Captures cost-sensitive or lower-tier customer segment. Retained especially for interaction with UpgradeOverdue (those with old, refurbished phones have particularly high churn risk).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HandsetWebCapable,HandsetWebCapable,Original,device_flags,Binary (Y/N),–,TRUE,TRUE,TRUE,Keep,keep,Indicates if handset is web-capable (smartphone). Strong churn predictor: customers without a smartphone churn at a higher rate (the bar for “No” is mostly churn ~32% vs ~25% for “Yes” web-capable). Likely reflects tech-savvy customers (with smartphones) being more engaged and less likely to churn.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
TruckOwner,TruckOwner,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Niche demographic indicator (truck ownership). No measurable correlation with churn (Cramér’s V ≈ 0.00). Dropped as it provides no predictive signal.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
RVOwner,RVOwner,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,RV (recreational vehicle) ownership. Also essentially uncorrelated with churn (Cramér’s V ≈ 0.00). Dropped for the same reason as TruckOwner – no value added.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
Homeownership,Homeownership,Original,demographics_household,Binary (Known/Unknown),–,TRUE,TRUE,TRUE,Keep,keep,Home ownership status. Those with unknown homeownership status showed a slightly higher churn rate than known homeowners (visual gap in churn bars)【42†】. Implies stability – homeowners may be more stable customers. Retained as a demographic stability indicator (with “Unknown” treated as a separate category if needed).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
BuysViaMailOrder,BuysViaMailOrder,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Mail-order buyer indicator. Very low churn correlation (Cramér’s V ~0.01 or below – not in top predictors). Dropped due to negligible informational gain.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
RespondsToMailOffers,RespondsToMailOffers,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Responds to mail marketing. Negligible predictive power (Cramér’s V ~0.02). No significant churn difference observed in EDA – dropped.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
OptOutMailings,OptOutMailings,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Opt-out of marketing mail. Not a churn driver (no evident effect; likely uncorrelated). Dropped to reduce feature count (unsupported by EDA – not among significant features).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
NonUSTravel,NonUSTravel,Original,demographics_household,Binary (Y/N),–,TRUE,TRUE,TRUE,Keep,keep,Travel outside US indicator. Shows a slight churn lift for travelers (those who traveled internationally had somewhat higher churn than non-travelers)【42†】. Retained as it may proxy customer lifestyle or roaming cost issues (despite a modest effect).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
OwnsComputer,OwnsComputer,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Computer ownership. Ubiquitous and not discriminatory in this dataset – churn rates did not differ (not flagged in EDA; likely nearly all have computers). Dropped as it does not segment risk.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HasCreditCard,HasCreditCard,Original,demographics_household,Binary (Y/N),–,TRUE,TRUE,TRUE,Keep,keep,Credit card ownership. Clear churn difference: customers without a credit card had much higher churn (~35% vs ~25% with card). Indicates financial stability – those lacking credit may be higher churn risks. Retained as a strong demographic predictor.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
RetentionCalls,RetentionCalls,Original,support_retention,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,Leaky – number of prior retention team calls. Essentially a post-hoc indicator of attempted churn. Customers with >0 retention calls had dramatically higher churn likelihood (this variable signals churn already in progress). Excluded from predictive models to prevent data leakage.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
RetentionOffersAccepted,RetentionOffersAccepted,Original,support_retention,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,"Leaky – number of prior retention offers accepted. Directly related to past churn interventions (only exists if churn was imminent). Though customers accepting offers might temporarily stay, the presence of any retention offer is a churn flag. Excluded to avoid leakage (churn rate for those with ≥1 offer is far above baseline).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
NewCellphoneUser,NewCellphoneUser,Original,demographics_household,Binary (Yes),–,TRUE,TRUE,TRUE,Keep,keep,"Indicates a first-time cellphone user. Surprisingly, churn is lower among true new users versus experienced users (churn ~23% for new vs ~32% for others as per flags)【42†】. Likely older or late adopters are more loyal. We keep this (merging with NotNew flag) to capture that effect.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
NotNewCellphoneUser,NotNewCellphoneUser,Original,demographics_household,Binary (No),–,FALSE,FALSE,FALSE,Drop,drop,Redundant complement to NewCellphoneUser. We use the single flag NewCellphoneUser (with 0 effectively representing non-new or unknown). NotNewCellphoneUser had very low standalone correlation (≈0.01) and is dropped to avoid perfect collinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
ReferralsMadeBySubscriber,ReferralsMadeBySubscriber,Original,account_tenure,Numeric (count),–,TRUE,TRUE,TRUE,Keep,keep,"Number of referrals made. Low overall incidence but conceptually indicates engagement/satisfaction. While not a top predictor, those who referred others are likely less prone to churn (strong loyalty signal). Retained for its potential lift (though further EDA needed; sample of referral-makers may be small – consider a flag for ≥1 referral).",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,median
IncomeGroup,IncomeGroup,Original,demographics_household,"Ordinal (1–9, 0=missing)",– (Zero treated as missing),FALSE,FALSE,FALSE,Replace,replace,Encoded income bracket. Many missing (0). Replaced by IncomeBand (Low/Mid/High/Unknown) to simplify the nonlinear effect of income. The raw numeric is not used directly due to unclear spacing and missing=0 issues.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,most_frequent
OwnsMotorcycle,OwnsMotorcycle,Original,demographics_household,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Motorcycle ownership. Very weak churn correlation (Cramér’s V ≈ 0.01). Provides no meaningful segmentation – dropped as an uninformative feature.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
AdjustmentsToCreditRating,AdjustmentsToCreditRating,Original,demographics_household,Numeric (count),–,TRUE,TRUE,TRUE,Keep,keep,"Number of credit score adjustments. Could flag financial distress (e.g. downgrades) that precede churn. Sparse feature but retained tentatively for its plausible significance. Insufficient direct EDA evidence (not highlighted), but logically a negative credit event could correlate with non-payment churn – recommend focused analysis.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
HandsetPrice,HandsetPrice,Original,billing_economics,"Ordinal (15 levels, 0=Unknown)",– (0 treated as Unknown; then binned),FALSE,FALSE,FALSE,Replace,replace,"Handset price tier. >56% missing (coded 0)[26]. We replace it with HandsetPrice_q – binned into Low/Mid/High plus Unknown. The binned version captures device value segments and separates missing values, which have a different churn profile (churners tended to have slightly cheaper phones on average).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,most_frequent
MadeCallToRetentionTeam,MadeCallToRetentionTeam,Original,support_retention,Binary (Y/N),–,FALSE,FALSE,FALSE,Drop,drop,Leaky – whether the customer called retention in the current period. This is essentially a direct precursor to churn (customers about to cancel). Including it would leak outcome information into the model. Dropped from all predictive modeling (though tracked for descriptive purposes).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
CreditRating,CreditRating,Original,demographics_household,Ordinal (1–7 scale),Converted to numeric score (1=best),TRUE,TRUE,TRUE,Keep,keep,"Credit score category. Lower credit (higher numeric value) may indicate payment risk and instability. Churn correlation is modest (not top-tier, ρ~0.05), but it adds a financial trustworthiness dimension. Retained for potential predictive value (e.g. customers with poor credit might churn if service is cut or to avoid deposits).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
PrizmCode,PrizmCode,Original,geo_segmentation,Nominal (4 categories),– (one-hot encode for GLM/NN),TRUE,TRUE,TRUE,Keep,keep,"Socio-geographic segment (Suburban/Town/Rural/Other). Shows some churn variation: certain segments (e.g. perhaps “Town” or “Rural”) had higher churn in top-N analysis. Retained to capture regional socioeconomic differences, since it’s low cardinality and easy to include.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
Occupation,Occupation,Original,demographics_household,Nominal (8 categories),– (one-hot encode for GLM/NN),TRUE,TRUE,TRUE,Keep,keep,"Occupation category. Different professions exhibited different churn rates (EDA top-churn categories analysis). For example, students or self-employed might churn more than professionals. Retained as a meaningful demographic indicator.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
MaritalStatus,MaritalStatus,Original,demographics_household,Nominal (3 categories: Yes/No/Unknown),– (one-hot encode),FALSE,FALSE,FALSE,Drop,drop,Marital status (married or not). EDA showed minimal difference in churn between married vs unmarried (both around the overall ~29% rate)【42†】. The small variations do not justify additional model complexity. Dropped due to insufficient separation in churn risk.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
Churn01,Churn01 (target),Engineered,id_target,Binary target (0/1),Converted from Churn (Yes/No),FALSE,FALSE,FALSE,– (target),target,Binary encoded churn outcome used for modeling. (Not a feature; listed for completeness).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
InactiveSubs,InactiveSubs = Unique–Active,Engineered,account_tenure,Numeric (count),Derived (clipped ≥0),TRUE,TRUE,TRUE,Add (Keep),keep,"Number of inactive subscribers on the account (lines that have been deactivated). Higher values may indicate an account already scaling down (churn-in-progress). EDA decile analysis suggested accounts with more previously dropped lines have elevated churn, especially in certain income bands. Kept as it captures an early warning of churn within family plans.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,median
RevenuePerMinute,RevenuePerMinute = MonthlyRevenue / (MonthlyMinutes+1),Engineered,billing_economics,Numeric (ratio),Computed ratio (added 1 to avoid ÷0),TRUE,TRUE,TRUE,Add (Keep),keep,Average revenue per minute of use – a proxy for cost of usage (high values imply overage charges or inefficiency). Exhibits a strong monotonic churn pattern: customers paying much more per minute (likely incurring overages) churn at higher rates. Retained to capture price sensitivity; outperforms raw revenue in indicating bill shock risk.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,median
MOU_perActive,MOU_perActive = MonthlyMinutes / (ActiveSubs+1),Engineered,usage_activity,Numeric (ratio),Computed ratio (per active line),TRUE,TRUE,TRUE,Add (Keep),keep,"Minutes of use per active subscriber – gauges individual usage in family plans. Highlights under-utilized lines: very low MOU per line could indicate a redundant line likely to be dropped. Retained to help identify at-risk lines on multi-sim accounts (though not directly visualized in EDA, it’s conceptually useful; NA filled as 0 for accounts with no usage).",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,median
IncomeBand,IncomeBand (Low/Mid/High/Unknown),Engineered,demographics_household,Categorical (4 levels),"Binned from IncomeGroup (1–3 Low, 4–6 Mid, 7–9 High, 0 Unknown)",TRUE,TRUE,TRUE,Add (Keep),keep,Simplified income bracket. Shows a clear rank ordering: churn rates highest for Unknown (missing income) and lowest for High income in EDA. Encodes socio-economic status non-linearly. Replaces raw IncomeGroup for stability and ease of interpretation.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,most_frequent
HandsetPrice_q,HandsetPrice_q (Low/Mid/High/Unknown),Engineered,billing_economics,Categorical (4 levels),"Binned from HandsetPrice (terciles of non-0 values, 0->Unknown)",TRUE,TRUE,TRUE,Add (Keep),keep,"Price category of handset. In EDA, churn was highest for “Unknown” price (missing/zero) and differed across price tiers. Lower-priced device users churn slightly more on average (less investment). This feature captures device value effect and covers the large missing population via “Unknown” category.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,most_frequent
UpgradeOverdue,UpgradeOverdue (Yes/No),Engineered,contract/lifecycle,Binary flag,From MonthsInService ≥24 AND CurrentEquipmentDays ≥500,TRUE,TRUE,TRUE,Add (Keep),keep,Indicates customers likely beyond contract and using an old device (overdue for upgrade). A strong interaction: churn is significantly higher for those who are long-tenured and on old equipment (observed uplift when combined with handset features). Retained to capture this 2D risk which neither tenure nor device age alone fully represent. (Original MonthsInService and CurrentEquipmentDays are also kept for baseline effects.),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HighRiskServiceArea_flag,HighRiskServiceArea_flag (Yes/No),Engineered,geo_segmentation,Binary flag,Mark ServiceAreas with highest churn rates (top X areas),TRUE,TRUE,TRUE,Add (Keep),keep,Flags if a subscriber belongs to a location with significantly above-average churn. EDA “head/tail” analysis identified certain ServiceArea codes with churn far exceeding the norm. This condenses the geographic risk without using 747 dummies. Retained in place of raw ServiceArea to capture regional network/competition issues.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
CustomerCareCalls_flag,CustomerCareCalls_flag (Yes/No),Engineered,support_retention,Binary flag,"1 if CustomerCareCalls > 0, else 0",TRUE,TRUE,TRUE,Add (Keep),keep,"Overall, customers who have at least one customer-care call show higher churn than those with no calls, indicating that the flag capturesfA5 customers who experienced some problem. However, the A5 head/tail × care-calls heatmap shows that within each ServiceArea risk group churn is slightly lower for customers who contacted care, while the absolute level remains much higher in top-5 high-churn regions. This suggests that geography is the dominant driver and care calls may be partly protective once regional risk is controlled for.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
DroppedQuality_flag,DroppedQuality_flag (Yes/No),Engineered,quality_experience,Binary flag,"1 if any Dropped/Blocked/UnansweredCalls > 0, else 0",TRUE,TRUE,TRUE,Add (Keep),keep,"Indicates if the customer experienced any call quality issues in the period. Almost all customers had at least one issue (91% “Yes”), so the opposite (“No issue”) minority had a somewhat lower churn. Retained mainly to enable interaction with HighUsage_flag (see below), as its standalone predictive power is limited by the small “No issue” group.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
HighUsage_flag,HighUsage_flag (Yes/No),Engineered,usage_activity,Binary flag,"1 if MonthlyMinutes in top 25% (≥723 min), else 0",TRUE,TRUE,TRUE,Add (Keep),keep,"Flags heavy usage customers. On its own, high usage does not drastically change churn (in isolation, heavy users can be loyal). However, in combination with quality issues it’s powerful: EDA heatmap showed customers who are high usage and had call issues churn at a much higher rate than others (nearly 40+% vs <30%). Kept to enable that interaction effect (and as a general control for usage level).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
RetentionCalls_flag,RetentionCalls_flag (Yes/No),Engineered,support_retention,Binary flag,"1 if RetentionCalls > 0, else 0",FALSE,FALSE,FALSE,(Drop – leakage),leakage,Whether the customer ever made a retention call prior to churn. Enormously predictive but not usable (leakage): virtually a post-churn behavior marker. Churn rate among those with a retention call is significantly above baseline (indicative that they already attempted to cancel). Excluded from models.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
RetentionOffersAccepted_flag,RetentionOffersAccepted_flag (Yes/No),Engineered,support_retention,Binary flag,1 if RetentionOffersAccepted > 0,FALSE,FALSE,FALSE,(Drop – leakage),leakage,Whether any retention offer was accepted. Also a leakage indicator – implies a prior save attempt. Churners with a past accepted offer still have elevated churn later. Not used in modeling (only for understanding retention efficacy).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
MadeCallToRetentionTeam_flag,MadeCallToRetentionTeam_flag (Yes/No),Engineered,support_retention,Binary flag,Duplicates original (Yes/No),FALSE,FALSE,FALSE,(Drop – leakage),leakage,"Flag for calling the retention team in the current period. This is directly tied to imminent churn (if 1, churn probability is extremely high, essentially an outcome). Left out of all predictive models to prevent leakage.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
